endpoint_group,sex,age_group,vacc_type_1,time_period,event_count
throm_cvst,Male,65-70,PB,7-13,10
any_haem,Male,65-70,PB,7-13,1
CVT_SVT,Male,65-70,PB,7-13,0
any_itp,Male,65-70,PB,7-13,1
any_throm_haem,Female,60-65,PB,7-13,1
any_throm,Female,60-65,PB,7-13,1
throm_cvst,Female,60-65,PB,7-13,1
any_haem,Female,60-65,PB,7-13,0
CVT_SVT,Female,60-65,PB,7-13,0
any_itp,Female,60-65,PB,7-13,0
any_throm_haem,Male,60-65,PB,7-13,1
any_throm,Male,60-65,PB,7-13,1
throm_cvst,Male,60-65,PB,7-13,1
any_haem,Male,60-65,PB,7-13,1
CVT_SVT,Male,60-65,PB,7-13,0
any_itp,Male,60-65,PB,7-13,0
any_throm_haem,Female,55-60,PB,7-13,1
any_throm,Female,55-60,PB,7-13,0
throm_cvst,Female,55-60,PB,7-13,0
any_haem,Female,55-60,PB,7-13,1
CVT_SVT,Female,55-60,PB,7-13,0
any_itp,Female,55-60,PB,7-13,1
any_throm_haem,Male,55-60,PB,7-13,5
any_throm,Male,55-60,PB,7-13,1
throm_cvst,Male,55-60,PB,7-13,1
any_haem,Male,55-60,PB,7-13,1
CVT_SVT,Male,55-60,PB,7-13,0
any_itp,Male,55-60,PB,7-13,0
any_throm_haem,Female,50-55,PB,7-13,1
any_throm,Female,50-55,PB,7-13,1
throm_cvst,Female,50-55,PB,7-13,1
any_haem,Female,50-55,PB,7-13,0
CVT_SVT,Female,50-55,PB,7-13,0
any_itp,Female,50-55,PB,7-13,0
any_throm_haem,Male,50-55,PB,7-13,1
any_throm,Male,50-55,PB,7-13,1
throm_cvst,Male,50-55,PB,7-13,1
any_haem,Male,50-55,PB,7-13,1
CVT_SVT,Male,50-55,PB,7-13,0
any_itp,Male,50-55,PB,7-13,0
any_throm_haem,Female,45-50,PB,7-13,1
any_throm,Female,45-50,PB,7-13,1
throm_cvst,Female,45-50,PB,7-13,1
any_haem,Female,45-50,PB,7-13,0
CVT_SVT,Female,45-50,PB,7-13,0
any_itp,Female,45-50,PB,7-13,0
any_throm_haem,Male,45-50,PB,7-13,1
any_throm,Male,45-50,PB,7-13,1
throm_cvst,Male,45-50,PB,7-13,1
any_haem,Male,45-50,PB,7-13,0
CVT_SVT,Male,45-50,PB,7-13,0
any_itp,Male,45-50,PB,7-13,0
any_throm_haem,Female,40-45,PB,7-13,1
any_throm,Female,40-45,PB,7-13,1
throm_cvst,Female,40-45,PB,7-13,1
any_haem,Female,40-45,PB,7-13,0
CVT_SVT,Female,40-45,PB,7-13,0
any_itp,Female,40-45,PB,7-13,0
any_throm_haem,Male,40-45,PB,7-13,1
any_throm,Male,40-45,PB,7-13,1
throm_cvst,Male,40-45,PB,7-13,1
any_haem,Male,40-45,PB,7-13,1
CVT_SVT,Male,40-45,PB,7-13,0
any_itp,Male,40-45,PB,7-13,0
any_throm_haem,Female,35-40,PB,7-13,0
any_throm,Female,35-40,PB,7-13,0
throm_cvst,Female,35-40,PB,7-13,0
any_haem,Female,35-40,PB,7-13,0
CVT_SVT,Female,35-40,PB,7-13,0
any_itp,Female,35-40,PB,7-13,0
any_throm_haem,Male,35-40,PB,7-13,1
any_throm,Male,35-40,PB,7-13,1
throm_cvst,Male,35-40,PB,7-13,1
any_haem,Male,35-40,PB,7-13,1
CVT_SVT,Male,35-40,PB,7-13,0
any_itp,Male,35-40,PB,7-13,0
any_throm_haem,Female,30-35,PB,7-13,7
any_throm,Female,30-35,PB,7-13,1
throm_cvst,Female,30-35,PB,7-13,1
any_haem,Female,30-35,PB,7-13,0
CVT_SVT,Female,30-35,PB,7-13,0
any_itp,Female,30-35,PB,7-13,6
any_throm_haem,Male,30-35,PB,7-13,5
any_throm,Male,30-35,PB,7-13,1
throm_cvst,Male,30-35,PB,7-13,1
any_haem,Male,30-35,PB,7-13,1
CVT_SVT,Male,30-35,PB,7-13,0
any_itp,Male,30-35,PB,7-13,0
any_throm_haem,Female,25-30,PB,7-13,1
any_throm,Female,25-30,PB,7-13,1
throm_cvst,Female,25-30,PB,7-13,1
any_haem,Female,25-30,PB,7-13,1
CVT_SVT,Female,25-30,PB,7-13,0
any_itp,Female,25-30,PB,7-13,0
any_throm_haem,Male,25-30,PB,7-13,5
any_throm,Male,25-30,PB,7-13,5
throm_cvst,Male,25-30,PB,7-13,5
any_haem,Male,25-30,PB,7-13,0
CVT_SVT,Male,25-30,PB,7-13,0
any_itp,Male,25-30,PB,7-13,1
any_throm_haem,Female,15-20,PB,7-13,1
any_throm,Female,15-20,PB,7-13,1
throm_cvst,Female,15-20,PB,7-13,1
any_haem,Female,15-20,PB,7-13,1
CVT_SVT,Female,15-20,PB,7-13,0
any_itp,Female,15-20,PB,7-13,0
any_throm_haem,Male,15-20,PB,7-13,0
any_throm,Male,15-20,PB,7-13,0
throm_cvst,Male,15-20,PB,7-13,0
any_haem,Male,15-20,PB,7-13,0
CVT_SVT,Male,15-20,PB,7-13,0
any_itp,Male,15-20,PB,7-13,0
any_throm_haem,Female,90+,PB,7-13,1
any_throm,Female,90+,PB,7-13,1
throm_cvst,Female,90+,PB,7-13,1
any_haem,Female,90+,PB,7-13,0
CVT_SVT,Female,90+,PB,7-13,0
any_itp,Female,90+,PB,7-13,0
any_throm_haem,Male,90+,PB,7-13,0
any_throm,Male,90+,PB,7-13,0
throm_cvst,Male,90+,PB,7-13,0
any_haem,Male,90+,PB,7-13,0
CVT_SVT,Male,90+,PB,7-13,0
any_itp,Male,90+,PB,7-13,0
any_throm_haem,Female,85-90,PB,7-13,1
any_throm,Female,85-90,PB,7-13,1
throm_cvst,Female,85-90,PB,7-13,1
any_haem,Female,85-90,PB,7-13,0
CVT_SVT,Female,85-90,PB,7-13,0
any_itp,Female,85-90,PB,7-13,0
any_throm_haem,Male,85-90,PB,7-13,1
any_throm,Male,85-90,PB,7-13,1
throm_cvst,Male,85-90,PB,7-13,1
any_haem,Male,85-90,PB,7-13,0
CVT_SVT,Male,85-90,PB,7-13,0
any_itp,Male,85-90,PB,7-13,0
any_throm_haem,Female,80-85,PB,7-13,8
any_throm,Female,80-85,PB,7-13,8
throm_cvst,Female,80-85,PB,7-13,8
any_haem,Female,80-85,PB,7-13,0
CVT_SVT,Female,80-85,PB,7-13,0
any_itp,Female,80-85,PB,7-13,0
any_throm_haem,Male,80-85,PB,7-13,6
any_throm,Male,80-85,PB,7-13,5
throm_cvst,Male,80-85,PB,7-13,5
any_haem,Male,80-85,PB,7-13,0
CVT_SVT,Male,80-85,PB,7-13,0
any_itp,Male,80-85,PB,7-13,1
any_throm_haem,Female,20-25,PB,7-13,1
any_throm,Female,20-25,PB,7-13,1
throm_cvst,Female,20-25,PB,7-13,1
any_haem,Female,20-25,PB,7-13,0
CVT_SVT,Female,20-25,PB,7-13,0
any_itp,Female,20-25,PB,7-13,0
any_throm_haem,Male,20-25,PB,7-13,1
any_throm,Male,20-25,PB,7-13,1
throm_cvst,Male,20-25,PB,7-13,1
any_haem,Male,20-25,PB,7-13,0
CVT_SVT,Male,20-25,PB,7-13,0
any_itp,Male,20-25,PB,7-13,0
any_throm_haem,Female,75-80,AZ,14-20,22
any_throm,Female,75-80,AZ,14-20,19
throm_cvst,Female,75-80,AZ,14-20,19
any_haem,Female,75-80,AZ,14-20,1
CVT_SVT,Female,75-80,AZ,14-20,0
any_itp,Female,75-80,AZ,14-20,1
any_throm_haem,Male,75-80,AZ,14-20,22
any_throm,Male,75-80,AZ,14-20,20
throm_cvst,Male,75-80,AZ,14-20,20
any_haem,Male,75-80,AZ,14-20,1
CVT_SVT,Male,75-80,AZ,14-20,0
any_itp,Male,75-80,AZ,14-20,1
any_throm_haem,Female,70-75,AZ,14-20,14
any_throm,Female,70-75,AZ,14-20,12
throm_cvst,Female,70-75,AZ,14-20,12
any_haem,Female,70-75,AZ,14-20,1
CVT_SVT,Female,70-75,AZ,14-20,0
any_itp,Female,70-75,AZ,14-20,5
any_throm_haem,Male,70-75,AZ,14-20,18
any_throm,Male,70-75,AZ,14-20,12
throm_cvst,Male,70-75,AZ,14-20,12
any_haem,Male,70-75,AZ,14-20,1
CVT_SVT,Male,70-75,AZ,14-20,0
any_itp,Male,70-75,AZ,14-20,1
any_throm_haem,Female,65-70,AZ,14-20,12
any_throm,Female,65-70,AZ,14-20,7
throm_cvst,Female,65-70,AZ,14-20,7
any_haem,Female,65-70,AZ,14-20,5
CVT_SVT,Female,65-70,AZ,14-20,0
any_itp,Female,65-70,AZ,14-20,0
any_throm_haem,Male,65-70,AZ,14-20,14
any_throm,Male,65-70,AZ,14-20,10
throm_cvst,Male,65-70,AZ,14-20,10
any_haem,Male,65-70,AZ,14-20,1
CVT_SVT,Male,65-70,AZ,14-20,0
any_itp,Male,65-70,AZ,14-20,1
any_throm_haem,Female,60-65,AZ,14-20,17
any_throm,Female,60-65,AZ,14-20,12
throm_cvst,Female,60-65,AZ,14-20,12
any_haem,Female,60-65,AZ,14-20,1
CVT_SVT,Female,60-65,AZ,14-20,0
any_itp,Female,60-65,AZ,14-20,1
any_throm_haem,Male,60-65,AZ,14-20,26
any_throm,Male,60-65,AZ,14-20,21
throm_cvst,Male,60-65,AZ,14-20,21
any_haem,Male,60-65,AZ,14-20,1
CVT_SVT,Male,60-65,AZ,14-20,0
any_itp,Male,60-65,AZ,14-20,1
any_throm_haem,Female,55-60,AZ,14-20,19
any_throm,Female,55-60,AZ,14-20,15
throm_cvst,Female,55-60,AZ,14-20,15
any_haem,Female,55-60,AZ,14-20,1
CVT_SVT,Female,55-60,AZ,14-20,0
any_itp,Female,55-60,AZ,14-20,1
any_throm_haem,Male,55-60,AZ,14-20,15
any_throm,Male,55-60,AZ,14-20,14
throm_cvst,Male,55-60,AZ,14-20,14
any_haem,Male,55-60,AZ,14-20,1
CVT_SVT,Male,55-60,AZ,14-20,0
any_itp,Male,55-60,AZ,14-20,0
any_throm_haem,Female,50-55,AZ,14-20,15
any_throm,Female,50-55,AZ,14-20,12
throm_cvst,Female,50-55,AZ,14-20,13
any_haem,Female,50-55,AZ,14-20,1
CVT_SVT,Female,50-55,AZ,14-20,1
any_itp,Female,50-55,AZ,14-20,1
any_throm_haem,Male,50-55,AZ,14-20,15
any_throm,Male,50-55,AZ,14-20,12
throm_cvst,Male,50-55,AZ,14-20,12
any_haem,Male,50-55,AZ,14-20,1
CVT_SVT,Male,50-55,AZ,14-20,0
any_itp,Male,50-55,AZ,14-20,1
any_throm_haem,Female,45-50,AZ,14-20,6
any_throm,Female,45-50,AZ,14-20,6
throm_cvst,Female,45-50,AZ,14-20,6
any_haem,Female,45-50,AZ,14-20,0
CVT_SVT,Female,45-50,AZ,14-20,0
any_itp,Female,45-50,AZ,14-20,0
any_throm_haem,Male,45-50,AZ,14-20,7
any_throm,Male,45-50,AZ,14-20,1
throm_cvst,Male,45-50,AZ,14-20,5
any_haem,Male,45-50,AZ,14-20,1
CVT_SVT,Male,45-50,AZ,14-20,1
any_itp,Male,45-50,AZ,14-20,1
any_throm_haem,Female,40-45,AZ,14-20,14
any_throm,Female,40-45,AZ,14-20,12
throm_cvst,Female,40-45,AZ,14-20,14
any_haem,Female,40-45,AZ,14-20,0
CVT_SVT,Female,40-45,AZ,14-20,1
any_itp,Female,40-45,AZ,14-20,1
any_throm_haem,Male,40-45,AZ,14-20,8
any_throm,Male,40-45,AZ,14-20,8
throm_cvst,Male,40-45,AZ,14-20,8
any_haem,Male,40-45,AZ,14-20,0
CVT_SVT,Male,40-45,AZ,14-20,0
any_itp,Male,40-45,AZ,14-20,1
any_throm_haem,Female,35-40,AZ,14-20,0
any_throm,Female,35-40,AZ,14-20,0
throm_cvst,Female,35-40,AZ,14-20,0
any_haem,Female,35-40,AZ,14-20,0
CVT_SVT,Female,35-40,AZ,14-20,0
any_itp,Female,35-40,AZ,14-20,1
any_throm_haem,Male,35-40,AZ,14-20,1
any_throm,Male,35-40,AZ,14-20,1
throm_cvst,Male,35-40,AZ,14-20,1
any_haem,Male,35-40,AZ,14-20,1
CVT_SVT,Male,35-40,AZ,14-20,0
any_itp,Male,35-40,AZ,14-20,0
any_throm_haem,Female,30-35,AZ,14-20,6
any_throm,Female,30-35,AZ,14-20,1
throm_cvst,Female,30-35,AZ,14-20,1
any_haem,Female,30-35,AZ,14-20,1
CVT_SVT,Female,30-35,AZ,14-20,0
any_itp,Female,30-35,AZ,14-20,0
any_throm_haem,Male,30-35,AZ,14-20,1
any_throm,Male,30-35,AZ,14-20,1
throm_cvst,Male,30-35,AZ,14-20,1
any_haem,Male,30-35,AZ,14-20,1
CVT_SVT,Male,30-35,AZ,14-20,0
any_itp,Male,30-35,AZ,14-20,0
any_throm_haem,Female,25-30,AZ,14-20,1
any_throm,Female,25-30,AZ,14-20,1
throm_cvst,Female,25-30,AZ,14-20,1
any_haem,Female,25-30,AZ,14-20,0
CVT_SVT,Female,25-30,AZ,14-20,0
any_itp,Female,25-30,AZ,14-20,0
any_throm_haem,Male,25-30,AZ,14-20,1
any_throm,Male,25-30,AZ,14-20,1
throm_cvst,Male,25-30,AZ,14-20,1
any_haem,Male,25-30,AZ,14-20,0
CVT_SVT,Male,25-30,AZ,14-20,0
any_itp,Male,25-30,AZ,14-20,0
any_throm_haem,Female,15-20,AZ,14-20,0
any_throm,Female,15-20,AZ,14-20,0
throm_cvst,Female,15-20,AZ,14-20,0
any_haem,Female,15-20,AZ,14-20,0
CVT_SVT,Female,15-20,AZ,14-20,0
any_itp,Female,15-20,AZ,14-20,0
any_throm_haem,Male,15-20,AZ,14-20,0
any_throm,Male,15-20,AZ,14-20,0
throm_cvst,Male,15-20,AZ,14-20,0
any_haem,Male,15-20,AZ,14-20,0
CVT_SVT,Male,15-20,AZ,14-20,0
any_itp,Male,15-20,AZ,14-20,0
any_throm_haem,Female,90+,AZ,14-20,7
any_throm,Female,90+,AZ,14-20,1
throm_cvst,Female,90+,AZ,14-20,1
any_haem,Female,90+,AZ,14-20,1
CVT_SVT,Female,90+,AZ,14-20,0
any_itp,Female,90+,AZ,14-20,1
any_throm_haem,Male,90+,AZ,14-20,1
any_throm,Male,90+,AZ,14-20,1
throm_cvst,Male,90+,AZ,14-20,1
any_haem,Male,90+,AZ,14-20,0
CVT_SVT,Male,90+,AZ,14-20,0
any_itp,Male,90+,AZ,14-20,1
any_throm_haem,Female,85-90,AZ,14-20,1
any_throm,Female,85-90,AZ,14-20,1
throm_cvst,Female,85-90,AZ,14-20,1
any_haem,Female,85-90,AZ,14-20,1
CVT_SVT,Female,85-90,AZ,14-20,0
any_itp,Female,85-90,AZ,14-20,1
any_throm_haem,Male,85-90,AZ,14-20,8
any_throm,Male,85-90,AZ,14-20,7
throm_cvst,Male,85-90,AZ,14-20,7
any_haem,Male,85-90,AZ,14-20,1
CVT_SVT,Male,85-90,AZ,14-20,0
any_itp,Male,85-90,AZ,14-20,0
any_throm_haem,Female,80-85,AZ,14-20,12
any_throm,Female,80-85,AZ,14-20,9
throm_cvst,Female,80-85,AZ,14-20,9
any_haem,Female,80-85,AZ,14-20,1
CVT_SVT,Female,80-85,AZ,14-20,0
any_itp,Female,80-85,AZ,14-20,1
any_throm_haem,Male,80-85,AZ,14-20,11
any_throm,Male,80-85,AZ,14-20,8
throm_cvst,Male,80-85,AZ,14-20,8
any_haem,Male,80-85,AZ,14-20,1
CVT_SVT,Male,80-85,AZ,14-20,0
any_itp,Male,80-85,AZ,14-20,1
any_throm_haem,Female,20-25,AZ,14-20,0
any_throm,Female,20-25,AZ,14-20,0
throm_cvst,Female,20-25,AZ,14-20,0
any_haem,Female,20-25,AZ,14-20,0
CVT_SVT,Female,20-25,AZ,14-20,0
any_itp,Female,20-25,AZ,14-20,0
any_throm_haem,Male,20-25,AZ,14-20,0
any_throm,Male,20-25,AZ,14-20,0
throm_cvst,Male,20-25,AZ,14-20,0
any_haem,Male,20-25,AZ,14-20,0
CVT_SVT,Male,20-25,AZ,14-20,0
any_itp,Male,20-25,AZ,14-20,0
any_throm_haem,Female,75-80,PB,14-20,1
any_throm,Female,75-80,PB,14-20,1
throm_cvst,Female,75-80,PB,14-20,1
any_haem,Female,75-80,PB,14-20,0
CVT_SVT,Female,75-80,PB,14-20,0
any_itp,Female,75-80,PB,14-20,0
any_throm_haem,Male,75-80,PB,14-20,7
any_throm,Male,75-80,PB,14-20,5
throm_cvst,Male,75-80,PB,14-20,5
any_haem,Male,75-80,PB,14-20,1
CVT_SVT,Male,75-80,PB,14-20,0
any_itp,Male,75-80,PB,14-20,0
any_throm_haem,Female,70-75,PB,14-20,8
any_throm,Female,70-75,PB,14-20,7
throm_cvst,Female,70-75,PB,14-20,7
any_haem,Female,70-75,PB,14-20,1
CVT_SVT,Female,70-75,PB,14-20,0
any_itp,Female,70-75,PB,14-20,0
any_throm_haem,Male,70-75,PB,14-20,9
any_throm,Male,70-75,PB,14-20,7
throm_cvst,Male,70-75,PB,14-20,7
any_haem,Male,70-75,PB,14-20,1
CVT_SVT,Male,70-75,PB,14-20,0
any_itp,Male,70-75,PB,14-20,0
any_throm_haem,Female,65-70,PB,14-20,10
any_throm,Female,65-70,PB,14-20,9
throm_cvst,Female,65-70,PB,14-20,9
any_haem,Female,65-70,PB,14-20,1
CVT_SVT,Female,65-70,PB,14-20,0
any_itp,Female,65-70,PB,14-20,0
any_throm_haem,Male,65-70,PB,14-20,11
any_throm,Male,65-70,PB,14-20,9
throm_cvst,Male,65-70,PB,14-20,9
any_haem,Male,65-70,PB,14-20,1
CVT_SVT,Male,65-70,PB,14-20,0
any_itp,Male,65-70,PB,14-20,0
any_throm_haem,Female,60-65,PB,14-20,8
any_throm,Female,60-65,PB,14-20,7
throm_cvst,Female,60-65,PB,14-20,7
any_haem,Female,60-65,PB,14-20,1
CVT_SVT,Female,60-65,PB,14-20,0
any_itp,Female,60-65,PB,14-20,0
any_throm_haem,Male,60-65,PB,14-20,1
any_throm,Male,60-65,PB,14-20,1
throm_cvst,Male,60-65,PB,14-20,1
any_haem,Male,60-65,PB,14-20,0
CVT_SVT,Male,60-65,PB,14-20,0
any_itp,Male,60-65,PB,14-20,0
any_throm_haem,Female,55-60,PB,14-20,1
any_throm,Female,55-60,PB,14-20,1
throm_cvst,Female,55-60,PB,14-20,1
any_haem,Female,55-60,PB,14-20,0
CVT_SVT,Female,55-60,PB,14-20,0
any_itp,Female,55-60,PB,14-20,1
any_throm_haem,Male,55-60,PB,14-20,1
any_throm,Male,55-60,PB,14-20,1
throm_cvst,Male,55-60,PB,14-20,1
any_haem,Male,55-60,PB,14-20,1
CVT_SVT,Male,55-60,PB,14-20,0
any_itp,Male,55-60,PB,14-20,0
any_throm_haem,Female,50-55,PB,14-20,7
any_throm,Female,50-55,PB,14-20,6
throm_cvst,Female,50-55,PB,14-20,6
any_haem,Female,50-55,PB,14-20,0
CVT_SVT,Female,50-55,PB,14-20,0
any_itp,Female,50-55,PB,14-20,1
any_throm_haem,Male,50-55,PB,14-20,1
any_throm,Male,50-55,PB,14-20,1
throm_cvst,Male,50-55,PB,14-20,1
any_haem,Male,50-55,PB,14-20,0
CVT_SVT,Male,50-55,PB,14-20,0
any_itp,Male,50-55,PB,14-20,1
any_throm_haem,Female,45-50,PB,14-20,0
any_throm,Female,45-50,PB,14-20,0
throm_cvst,Female,45-50,PB,14-20,0
any_haem,Female,45-50,PB,14-20,0
CVT_SVT,Female,45-50,PB,14-20,0
any_itp,Female,45-50,PB,14-20,0
any_throm_haem,Male,45-50,PB,14-20,1
any_throm,Male,45-50,PB,14-20,1
throm_cvst,Male,45-50,PB,14-20,1
any_haem,Male,45-50,PB,14-20,0
CVT_SVT,Male,45-50,PB,14-20,0
any_itp,Male,45-50,PB,14-20,0
any_throm_haem,Female,40-45,PB,14-20,1
any_throm,Female,40-45,PB,14-20,0
throm_cvst,Female,40-45,PB,14-20,0
any_haem,Female,40-45,PB,14-20,1
CVT_SVT,Female,40-45,PB,14-20,0
any_itp,Female,40-45,PB,14-20,0
any_throm_haem,Male,40-45,PB,14-20,1
any_throm,Male,40-45,PB,14-20,0
throm_cvst,Male,40-45,PB,14-20,0
any_haem,Male,40-45,PB,14-20,1
CVT_SVT,Male,40-45,PB,14-20,0
any_itp,Male,40-45,PB,14-20,1
any_throm_haem,Female,35-40,PB,14-20,1
any_throm,Female,35-40,PB,14-20,1
throm_cvst,Female,35-40,PB,14-20,1
any_haem,Female,35-40,PB,14-20,0
CVT_SVT,Female,35-40,PB,14-20,0
any_itp,Female,35-40,PB,14-20,0
any_throm_haem,Male,35-40,PB,14-20,6
any_throm,Male,35-40,PB,14-20,5
throm_cvst,Male,35-40,PB,14-20,5
any_haem,Male,35-40,PB,14-20,1
CVT_SVT,Male,35-40,PB,14-20,0
any_itp,Male,35-40,PB,14-20,0
any_throm_haem,Female,30-35,PB,14-20,0
any_throm,Female,30-35,PB,14-20,0
throm_cvst,Female,30-35,PB,14-20,0
any_haem,Female,30-35,PB,14-20,0
CVT_SVT,Female,30-35,PB,14-20,0
any_itp,Female,30-35,PB,14-20,1
any_throm_haem,Male,30-35,PB,14-20,1
any_throm,Male,30-35,PB,14-20,1
throm_cvst,Male,30-35,PB,14-20,1
any_haem,Male,30-35,PB,14-20,0
CVT_SVT,Male,30-35,PB,14-20,0
any_itp,Male,30-35,PB,14-20,0
any_throm_haem,Female,25-30,PB,14-20,0
any_throm,Female,25-30,PB,14-20,0
throm_cvst,Female,25-30,PB,14-20,0
any_haem,Female,25-30,PB,14-20,0
CVT_SVT,Female,25-30,PB,14-20,0
any_itp,Female,25-30,PB,14-20,1
any_throm_haem,Male,25-30,PB,14-20,0
any_throm,Male,25-30,PB,14-20,0
throm_cvst,Male,25-30,PB,14-20,0
any_haem,Male,25-30,PB,14-20,0
CVT_SVT,Male,25-30,PB,14-20,0
any_itp,Male,25-30,PB,14-20,0
any_throm_haem,Female,15-20,PB,14-20,1
any_throm,Female,15-20,PB,14-20,0
throm_cvst,Female,15-20,PB,14-20,0
any_haem,Female,15-20,PB,14-20,1
CVT_SVT,Female,15-20,PB,14-20,0
any_itp,Female,15-20,PB,14-20,0
any_throm_haem,Male,15-20,PB,14-20,0
any_throm,Male,15-20,PB,14-20,0
throm_cvst,Male,15-20,PB,14-20,0
any_haem,Male,15-20,PB,14-20,0
CVT_SVT,Male,15-20,PB,14-20,0
any_itp,Male,15-20,PB,14-20,1
any_throm_haem,Female,90+,PB,14-20,1
any_throm,Female,90+,PB,14-20,0
throm_cvst,Female,90+,PB,14-20,0
any_haem,Female,90+,PB,14-20,1
CVT_SVT,Female,90+,PB,14-20,0
any_itp,Female,90+,PB,14-20,0
any_throm_haem,Male,90+,PB,14-20,1
any_throm,Male,90+,PB,14-20,0
throm_cvst,Male,90+,PB,14-20,0
any_haem,Male,90+,PB,14-20,1
CVT_SVT,Male,90+,PB,14-20,0
any_itp,Male,90+,PB,14-20,0
any_throm_haem,Female,85-90,PB,14-20,5
any_throm,Female,85-90,PB,14-20,1
throm_cvst,Female,85-90,PB,14-20,1
any_haem,Female,85-90,PB,14-20,1
CVT_SVT,Female,85-90,PB,14-20,0
any_itp,Female,85-90,PB,14-20,0
any_throm_haem,Male,85-90,PB,14-20,1
any_throm,Male,85-90,PB,14-20,1
throm_cvst,Male,85-90,PB,14-20,1
any_haem,Male,85-90,PB,14-20,0
CVT_SVT,Male,85-90,PB,14-20,0
any_itp,Male,85-90,PB,14-20,0
any_throm_haem,Female,80-85,PB,14-20,1
any_throm,Female,80-85,PB,14-20,1
throm_cvst,Female,80-85,PB,14-20,1
any_haem,Female,80-85,PB,14-20,1
CVT_SVT,Female,80-85,PB,14-20,0
any_itp,Female,80-85,PB,14-20,0
any_throm_haem,Male,80-85,PB,14-20,1
any_throm,Male,80-85,PB,14-20,1
throm_cvst,Male,80-85,PB,14-20,1
any_haem,Male,80-85,PB,14-20,0
CVT_SVT,Male,80-85,PB,14-20,0
any_itp,Male,80-85,PB,14-20,1
any_throm_haem,Female,20-25,PB,14-20,1
any_throm,Female,20-25,PB,14-20,1
throm_cvst,Female,20-25,PB,14-20,1
any_haem,Female,20-25,PB,14-20,0
CVT_SVT,Female,20-25,PB,14-20,0
any_itp,Female,20-25,PB,14-20,1
any_throm_haem,Male,20-25,PB,14-20,1
any_throm,Male,20-25,PB,14-20,0
throm_cvst,Male,20-25,PB,14-20,0
any_haem,Male,20-25,PB,14-20,1
CVT_SVT,Male,20-25,PB,14-20,0
any_itp,Male,20-25,PB,14-20,0
any_throm_haem,Female,75-80,AZ,21-27,18
any_throm,Female,75-80,AZ,21-27,15
throm_cvst,Female,75-80,AZ,21-27,15
any_haem,Female,75-80,AZ,21-27,1
CVT_SVT,Female,75-80,AZ,21-27,0
any_itp,Female,75-80,AZ,21-27,0
any_throm_haem,Male,75-80,AZ,21-27,19
any_throm,Male,75-80,AZ,21-27,16
throm_cvst,Male,75-80,AZ,21-27,16
any_haem,Male,75-80,AZ,21-27,1
CVT_SVT,Male,75-80,AZ,21-27,0
any_itp,Male,75-80,AZ,21-27,1
any_throm_haem,Female,70-75,AZ,21-27,7
any_throm,Female,70-75,AZ,21-27,5
throm_cvst,Female,70-75,AZ,21-27,5
any_haem,Female,70-75,AZ,21-27,1
CVT_SVT,Female,70-75,AZ,21-27,0
any_itp,Female,70-75,AZ,21-27,0
any_throm_haem,Male,70-75,AZ,21-27,12
any_throm,Male,70-75,AZ,21-27,8
throm_cvst,Male,70-75,AZ,21-27,8
any_haem,Male,70-75,AZ,21-27,1
CVT_SVT,Male,70-75,AZ,21-27,0
any_itp,Male,70-75,AZ,21-27,0
any_throm_haem,Female,65-70,AZ,21-27,6
any_throm,Female,65-70,AZ,21-27,5
throm_cvst,Female,65-70,AZ,21-27,5
any_haem,Female,65-70,AZ,21-27,1
CVT_SVT,Female,65-70,AZ,21-27,0
any_itp,Female,65-70,AZ,21-27,1
any_throm_haem,Male,65-70,AZ,21-27,16
any_throm,Male,65-70,AZ,21-27,10
throm_cvst,Male,65-70,AZ,21-27,11
any_haem,Male,65-70,AZ,21-27,5
CVT_SVT,Male,65-70,AZ,21-27,1
any_itp,Male,65-70,AZ,21-27,0
any_throm_haem,Female,60-65,AZ,21-27,9
any_throm,Female,60-65,AZ,21-27,8
throm_cvst,Female,60-65,AZ,21-27,9
any_haem,Female,60-65,AZ,21-27,0
CVT_SVT,Female,60-65,AZ,21-27,1
any_itp,Female,60-65,AZ,21-27,1
any_throm_haem,Male,60-65,AZ,21-27,21
any_throm,Male,60-65,AZ,21-27,17
throm_cvst,Male,60-65,AZ,21-27,17
any_haem,Male,60-65,AZ,21-27,1
CVT_SVT,Male,60-65,AZ,21-27,0
any_itp,Male,60-65,AZ,21-27,6
any_throm_haem,Female,55-60,AZ,21-27,17
any_throm,Female,55-60,AZ,21-27,13
throm_cvst,Female,55-60,AZ,21-27,13
any_haem,Female,55-60,AZ,21-27,1
CVT_SVT,Female,55-60,AZ,21-27,0
any_itp,Female,55-60,AZ,21-27,1
any_throm_haem,Male,55-60,AZ,21-27,17
any_throm,Male,55-60,AZ,21-27,15
throm_cvst,Male,55-60,AZ,21-27,15
any_haem,Male,55-60,AZ,21-27,1
CVT_SVT,Male,55-60,AZ,21-27,0
any_itp,Male,55-60,AZ,21-27,1
any_throm_haem,Female,50-55,AZ,21-27,17
any_throm,Female,50-55,AZ,21-27,11
throm_cvst,Female,50-55,AZ,21-27,11
any_haem,Female,50-55,AZ,21-27,6
CVT_SVT,Female,50-55,AZ,21-27,0
any_itp,Female,50-55,AZ,21-27,1
any_throm_haem,Male,50-55,AZ,21-27,11
any_throm,Male,50-55,AZ,21-27,1
throm_cvst,Male,50-55,AZ,21-27,1
any_haem,Male,50-55,AZ,21-27,7
CVT_SVT,Male,50-55,AZ,21-27,0
